State,County name,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
CA,San Benito County,Large fringe metro,47,371
CA,San Bernardino County,Large fringe metro,3939,21434
CA,San Diego County,Large central metro,3208,28771
CA,San Francisco County,Large central metro,382,7341
CA,San Joaquin County,Medium metro,1108,7426
CA,San Luis Obispo County,Medium metro,178,2691
CA,San Mateo County,Large fringe metro,479,5598
CA,Santa Barbara County,Medium metro,413,4077
CA,Santa Clara County,Large central metro,1356,13465
CA,Santa Cruz County,Medium metro,212,2068
CA,Shasta County,Small metro,183,2926
CA,Siskiyou County,Noncore,12,597
CA,Solano County,Medium metro,317,4109
CA,Sonoma County,Medium metro,322,4919
CA,Stanislaus County,Medium metro,1113,6855
CA,Sutter County,Small metro,43,673
CA,Tehama County,Micropolitan,45,662
CA,Tulare County,Medium metro,692,4114
CA,Tuolumne County,Micropolitan,56,797
CA,Ventura County,Medium metro,770,7294
CA,Yolo County,Large fringe metro,146,1429
CA,Yuba County,Small metro,90,932
CO,Adams County,Large fringe metro,674,4682
CO,Alamosa County,Noncore,26,178
CO,Arapahoe County,Large fringe metro,714,5464
CO,Bent County,Noncore,11,61
CO,Boulder County,Medium metro,289,2858
CO,Broomfield County,Large fringe metro,46,383
CO,Chaffee County,Noncore,18,187
CO,Delta County,Noncore,42,391
CO,Denver County,Large central metro,647,6308
CO,Douglas County,Large fringe metro,232,2059
CO,El Paso County,Medium metro,748,6700
CO,Fremont County,Micropolitan,23,560
CO,Garfield County,Micropolitan,35,418
CO,Huerfano County,Noncore,13,137
CO,Jefferson County,Large fringe metro,697,6074
CO,La Plata County,Micropolitan,47,501
CO,Larimer County,Medium metro,249,3262
CO,Logan County,Micropolitan,49,272
CO,Mesa County,Small metro,204,2242
CO,Moffat County,Micropolitan,20,143
CO,Montrose County,Micropolitan,45,504
CO,Morgan County,Micropolitan,64,311
CO,Otero County,Noncore,25,233
CO,Prowers County,Noncore,14,126
CO,Pueblo County,Small metro,346,2678
CO,Routt County,Micropolitan,14,125
CO,Weld County,Medium metro,267,2070
CO,Yuma County,Noncore,14,108
CT,Fairfield County,Medium metro,1881,8937
CT,Hartford County,Large central metro,2025,10872
CT,Litchfield County,Micropolitan,189,1725
CT,Middlesex County,Large fringe metro,282,1695
CT,New Haven County,Medium metro,1751,10610
CT,New London County,Medium metro,344,2772
CT,Tolland County,Large fringe metro,65,800
CT,Windham County,Medium metro,87,1095
DC,District of Columbia,Large central metro,1135,7989
DE,Kent County,Small metro,224,2169
DE,New Castle County,Large fringe metro,600,6340
DE,Sussex County,Medium metro,362,3190
FL,Alachua County,Medium metro,516,4486
FL,Baker County,Large fringe metro,12,207
FL,Bay County,Small metro,293,2426
FL,Brevard County,Medium metro,642,9095
FL,Broward County,Large fringe metro,2281,19671
FL,Calhoun County,Noncore,13,192
FL,Charlotte County,Small metro,311,3619
FL,Citrus County,Small metro,266,3324
FL,Clay County,Large fringe metro,267,2740
FL,Collier County,Medium metro,456,4558
FL,Columbia County,Micropolitan,142,1248
FL,DeSoto County,Micropolitan,21,387
FL,Duval County,Large central metro,1272,12726
FL,Escambia County,Medium metro,686,6045
FL,Flagler County,Medium metro,77,1664
FL,Hendry County,Micropolitan,19,233
FL,Hernando County,Large fringe metro,302,3560
FL,Highlands County,Small metro,268,2251
FL,Hillsborough County,Large central metro,1376,15147
FL,Holmes County,Noncore,13,285
FL,Indian River County,Small metro,181,2649
FL,Jackson County,Noncore,84,689
FL,Lake County,Large fringe metro,451,5230
FL,Lee County,Medium metro,755,9387
FL,Leon County,Medium metro,481,3870
FL,Levy County,Noncore,12,453
FL,Madison County,Noncore,11,201
FL,Manatee County,Medium metro,502,5454
FL,Marion County,Medium metro,631,6587
FL,Martin County,Medium metro,344,2517
FL,Miami-Dade County,Large central metro,4585,28536
FL,Monroe County,Micropolitan,22,629
FL,Nassau County,Large fringe metro,36,795
FL,Okaloosa County,Small metro,260,2529
FL,Okeechobee County,Micropolitan,58,526
FL,Orange County,Large central metro,1208,12586
FL,Osceola County,Large fringe metro,393,3249
FL,Palm Beach County,Large fringe metro,2291,19739
FL,Pasco County,Large fringe metro,534,7677
FL,Pinellas County,Large central metro,1256,15595
FL,Polk County,Medium metro,908,8941
FL,Putnam County,Micropolitan,65,1008
FL,St. Johns County,Large fringe metro,65,2007
FL,St. Lucie County,Medium metro,328,4154
FL,Santa Rosa County,Medium metro,100,1447
FL,Sarasota County,Medium metro,694,7441
FL,Seminole County,Large fringe metro,260,4179
FL,Sumter County,Small metro,198,2828
FL,Suwannee County,Noncore,24,423
FL,Union County,Noncore,24,146
FL,Volusia County,Medium metro,560,9147
FL,Walton County,Small metro,81,805
FL,Washington County,Noncore,33,325
GA,Appling County,Noncore,23,160
GA,Bacon County,Noncore,40,175
GA,Baldwin County,Micropolitan,84,582
GA,Barrow County,Large fringe metro,33,500
GA,Bartow County,Large fringe metro,110,1225
GA,Ben Hill County,Micropolitan,44,235
GA,Berrien County,Noncore,11,162
GA,Bibb County,Small metro,470,3563
GA,Bleckley County,Noncore,19,129
GA,Bulloch County,Micropolitan,95,835
GA,Burke County,Medium metro,10,236
GA,Butts County,Large fringe metro,27,280
GA,Camden County,Micropolitan,16,316
GA,Candler County,Noncore,32,167
GA,Carroll County,Large fringe metro,248,1632
GA,Catoosa County,Medium metro,40,648
GA,Chatham County,Medium metro,477,4406
GA,Cherokee County,Large fringe metro,146,1722
GA,Clarke County,Small metro,323,2086
GA,Clayton County,Large fringe metro,123,1613
