State,County name,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
KY,Caldwell County,Noncore,16,139
KY,Calloway County,Micropolitan,40,440
KY,Campbell County,Large fringe metro,173,951
KY,Casey County,Noncore,13,162
KY,Christian County,Medium metro,62,639
KY,Clark County,Medium metro,29,407
KY,Clay County,Noncore,18,224
KY,Daviess County,Small metro,221,1634
KY,Fayette County,Medium metro,445,5918
KY,Floyd County,Noncore,44,532
KY,Franklin County,Micropolitan,57,673
KY,Garrard County,Noncore,10,138
KY,Graves County,Micropolitan,83,519
KY,Grayson County,Noncore,17,278
KY,Greenup County,Medium metro,13,330
KY,Hardin County,Small metro,133,1349
KY,Harlan County,Noncore,30,447
KY,Harrison County,Noncore,12,242
KY,Hart County,Noncore,14,185
KY,Henderson County,Medium metro,34,545
KY,Hopkins County,Micropolitan,134,852
KY,Jefferson County,Large central metro,1415,13024
KY,Jessamine County,Medium metro,27,383
KY,Kenton County,Large fringe metro,122,2063
KY,Knox County,Micropolitan,21,339
KY,Laurel County,Micropolitan,46,777
KY,Lawrence County,Noncore,13,188
KY,Lee County,Noncore,12,107
KY,Letcher County,Noncore,21,241
KY,Lewis County,Noncore,11,95
KY,Lincoln County,Micropolitan,12,242
KY,Logan County,Noncore,14,227
KY,McCracken County,Micropolitan,207,1605
KY,Madison County,Micropolitan,84,974
KY,Marion County,Noncore,23,202
KY,Marshall County,Noncore,17,352
KY,Mason County,Micropolitan,44,400
KY,Mercer County,Noncore,22,260
KY,Monroe County,Noncore,22,114
KY,Montgomery County,Micropolitan,22,318
KY,Muhlenberg County,Noncore,19,317
KY,Nelson County,Micropolitan,18,399
KY,Ohio County,Noncore,12,256
KY,Oldham County,Large fringe metro,31,360
KY,Perry County,Noncore,86,1026
KY,Pike County,Noncore,149,1522
KY,Pulaski County,Micropolitan,90,1102
KY,Rockcastle County,Micropolitan,24,249
KY,Rowan County,Noncore,19,360
KY,Russell County,Noncore,25,219
KY,Scott County,Medium metro,22,400
KY,Shelby County,Large fringe metro,26,303
KY,Simpson County,Noncore,10,150
KY,Spencer County,Large fringe metro,10,116
KY,Taylor County,Micropolitan,19,305
KY,Warren County,Small metro,301,2011
KY,Washington County,Noncore,15,105
KY,Wayne County,Noncore,21,203
KY,Whitley County,Micropolitan,76,640
LA,Acadia Parish,Medium metro,86,725
LA,Allen Parish,Noncore,32,273
LA,Ascension Parish,Medium metro,50,686
LA,Avoyelles Parish,Noncore,37,519
LA,Beauregard Parish,Micropolitan,38,349
LA,Bienville Parish,Noncore,13,184
LA,Bossier Parish,Medium metro,155,1218
LA,Caddo Parish,Medium metro,941,5119
LA,Calcasieu Parish,Small metro,303,2555
LA,Claiborne Parish,Noncore,32,195
LA,Concordia Parish,Micropolitan,15,224
LA,De Soto Parish,Medium metro,15,198
LA,East Baton Rouge Parish,Medium metro,1129,7168
LA,East Feliciana Parish,Medium metro,23,181
LA,Evangeline Parish,Noncore,48,417
LA,Franklin Parish,Noncore,26,230
LA,Grant Parish,Small metro,18,215
LA,Iberia Parish,Medium metro,80,874
LA,Iberville Parish,Medium metro,11,290
LA,Jefferson Parish,Large fringe metro,1065,6700
LA,Jefferson Davis Parish,Noncore,70,470
LA,Lafayette Parish,Medium metro,436,3342
LA,Lafourche Parish,Small metro,172,1130
LA,LaSalle Parish,Noncore,21,201
LA,Lincoln Parish,Micropolitan,76,575
LA,Livingston Parish,Medium metro,27,872
LA,Morehouse Parish,Micropolitan,17,349
LA,Natchitoches Parish,Micropolitan,54,431
LA,Orleans Parish,Large central metro,517,4982
LA,Ouachita Parish,Small metro,502,2576
LA,Pointe Coupee Parish,Medium metro,26,255
LA,Rapides Parish,Small metro,413,2625
LA,Red River Parish,Noncore,13,124
LA,Sabine Parish,Noncore,19,247
LA,St. Bernard Parish,Large fringe metro,22,302
LA,St. Charles Parish,Large fringe metro,38,424
LA,St. James Parish,Large fringe metro,21,169
LA,St. John the Baptist Parish,Large fringe metro,35,317
LA,St. Landry Parish,Micropolitan,175,1175
LA,St. Martin Parish,Medium metro,27,458
LA,St. Mary Parish,Micropolitan,76,574
LA,St. Tammany Parish,Large fringe metro,449,3369
LA,Tangipahoa Parish,Small metro,180,1576
LA,Terrebonne Parish,Small metro,143,1343
LA,Union Parish,Small metro,30,281
LA,Vermilion Parish,Medium metro,32,622
LA,Vernon Parish,Micropolitan,40,385
LA,Washington Parish,Micropolitan,50,553
LA,Webster Parish,Medium metro,45,569
LA,West Carroll Parish,Noncore,17,112
LA,Winn Parish,Noncore,28,183
MA,Barnstable County,Small metro,259,3272
MA,Berkshire County,Small metro,194,1848
MA,Bristol County,Large fringe metro,990,6407
MA,Essex County,Large fringe metro,1444,8850
MA,Franklin County,Micropolitan,49,593
MA,Hampden County,Medium metro,1019,6685
MA,Hampshire County,Medium metro,166,1451
MA,Middlesex County,Large fringe metro,2549,14110
MA,Norfolk County,Large fringe metro,971,6662
MA,Plymouth County,Large fringe metro,818,5552
MA,Suffolk County,Large central metro,1748,10497
MA,Worcester County,Medium metro,1524,9399
MD,Allegany County,Small metro,227,1392
MD,Anne Arundel County,Large fringe metro,595,5640
MD,Baltimore County,Large fringe metro,1183,10386
MD,Calvert County,Large fringe metro,56,754
MD,Caroline County,Noncore,10,268
MD,Carroll County,Large fringe metro,238,2029
MD,Cecil County,Large fringe metro,123,1196
MD,Charles County,Large fringe metro,126,1238
MD,Dorchester County,Micropolitan,21,349
MD,Frederick County,Large fringe metro,247,2310
MD,Garrett County,Noncore,65,414
MD,Harford County,Large fringe metro,196,2607
MD,Howard County,Large fringe metro,177,2091
MD,Kent County,Noncore,36,341
MD,Montgomery County,Large fringe metro,1792,9361
MD,Prince George's County,Large fringe metro,996,7086
MD,St. Mary's County,Small metro,121,1003
MD,Talbot County,Micropolitan,59,765
MD,Washington County,Medium metro,289,2251
MD,Wicomico County,Medium metro,240,1790
MD,Worcester County,Medium metro,92,823
MD,Baltimore city,Large central metro,1205,10933
ME,Androscoggin County,Small metro,65,1601
ME,Aroostook County,Noncore,43,969
ME,Cumberland County,Medium metro,225,4405
ME,Franklin County,Noncore,13,350
ME,Hancock County,Noncore,26,638
ME,Kennebec County,Micropolitan,49,1601
ME,Oxford County,Noncore,31,599
ME,Penobscot County,Small metro,109,2489
ME,Somerset County,Noncore,24,576
ME,Waldo County,Noncore,17,328
ME,York County,Medium metro,101,1793
MI,Allegan County,Micropolitan,51,1042
MI,Alpena County,Micropolitan,55,476
MI,Arenac County,Noncore,13,175
MI,Baraga County,Noncore,24,102
MI,Barry County,Large fringe metro,17,496
MI,Bay County,Small metro,244,1821
MI,Benzie County,Micropolitan,13,179
MI,Berrien County,Small metro,209,2011
MI,Branch County,Micropolitan,46,454
MI,Calhoun County,Small metro,144,1896
MI,Cass County,Medium metro,24,430
MI,Cheboygan County,Noncore,27,280
MI,Chippewa County,Micropolitan,17,359
MI,Clare County,Noncore,40,420
MI,Clinton County,Medium metro,22,500
MI,Crawford County,Noncore,30,258
MI,Delta County,Micropolitan,60,529
MI,Dickinson County,Micropolitan,62,397
MI,Eaton County,Medium metro,33,940
MI,Emmet County,Noncore,70,722
MI,Genesee County,Medium metro,636,6038
MI,Gladwin County,Noncore,17,301
MI,Gogebic County,Noncore,28,203
MI,Grand Traverse County,Micropolitan,109,1663
MI,Gratiot County,Micropolitan,87,592
MI,Hillsdale County,Micropolitan,43,472
MI,Houghton County,Micropolitan,27,403
MI,Huron County,Noncore,29,396
MI,Ingham County,Medium metro,345,3770
MI,Ionia County,Micropolitan,28,444
MI,Iosco County,Noncore,34,411
MI,Iron County,Noncore,34,217
MI,Isabella County,Micropolitan,34,669
MI,Jackson County,Small metro,254,2268
MI,Kalamazoo County,Medium metro,423,3702
MI,Kent County,Large central metro,745,7361
MI,Lapeer County,Large fringe metro,98,1006
MI,Lenawee County,Micropolitan,64,1045
MI,Livingston County,Large fringe metro,61,1510
MI,Macomb County,Large fringe metro,1199,9772
MI,Manistee County,Noncore,12,329
MI,Marquette County,Micropolitan,83,935
MI,Mason County,Micropolitan,20,375
MI,Mecosta County,Micropolitan,20,487
MI,Menominee County,Micropolitan,10,214
MI,Midland County,Small metro,77,1174
MI,Monroe County,Small metro,83,1420
MI,Montcalm County,Large fringe metro,61,669
MI,Muskegon County,Small metro,313,2364
MI,Newaygo County,Noncore,21,520
MI,Oakland County,Large fringe metro,2304,16169
MI,Oceana County,Noncore,14,226
MI,Ogemaw County,Noncore,18,325
MI,Ontonagon County,Noncore,10,85
MI,Otsego County,Noncore,11,305
MI,Ottawa County,Large fringe metro,228,2347
MI,Presque Isle County,Noncore,13,160
MI,Roscommon County,Noncore,10,289
MI,Saginaw County,Small metro,531,3390
MI,St. Clair County,Large fringe metro,198,2098
MI,St. Joseph County,Micropolitan,36,598
MI,Sanilac County,Noncore,37,457
MI,Shiawassee County,Micropolitan,44,815
MI,Tuscola County,Noncore,33,505
MI,Van Buren County,Medium metro,47,603
MI,Washtenaw County,Medium metro,460,4572
MI,Wayne County,Large central metro,3257,24150
MI,Wexford County,Micropolitan,22,401
MN,Aitkin County,Noncore,28,243
MN,Anoka County,Large fringe metro,436,2748
MN,Becker County,Noncore,34,410
MN,Beltrami County,Micropolitan,67,519
MN,Benton County,Small metro,57,425
MN,Blue Earth County,Small metro,62,698
MN,Brown County,Micropolitan,32,335
MN,Carlton County,Medium metro,34,364
MN,Carver County,Large fringe metro,37,589
MN,Chippewa County,Noncore,26,160
MN,Chisago County,Large fringe metro,33,510
MN,Clay County,Small metro,52,400
MN,Cottonwood County,Noncore,20,154
MN,Crow Wing County,Micropolitan,75,750
MN,Dakota County,Large fringe metro,235,2686
MN,Douglas County,Micropolitan,57,516
MN,Faribault County,Noncore,11,188
MN,Freeborn County,Micropolitan,22,366
MN,Goodhue County,Micropolitan,61,574
MN,Hennepin County,Large central metro,1866,13335
MN,Hubbard County,Noncore,32,230
MN,Isanti County,Large fringe metro,20,312
MN,Itasca County,Noncore,34,515
MN,Kanabec County,Noncore,13,176
MN,Kandiyohi County,Micropolitan,70,466
MN,Kittson County,Noncore,21,64
MN,Lac qui Parle County,Noncore,15,91
MN,Lake County,Noncore,13,150
MN,Lyon County,Micropolitan,42,251
MN,McLeod County,Micropolitan,36,427
MN,Martin County,Noncore,17,204
MN,Meeker County,Noncore,30,225
MN,Mille Lacs County,Large fringe metro,33,288
MN,Morrison County,Noncore,35,341
MN,Mower County,Micropolitan,27,358
MN,Nicollet County,Small metro,31,223
MN,Nobles County,Micropolitan,30,188
MN,Olmsted County,Small metro,173,2394
MN,Otter Tail County,Micropolitan,46,727
MN,Pennington County,Noncore,12,128
MN,Pine County,Noncore,16,252
MN,Pipestone County,Noncore,15,106
MN,Polk County,Small metro,51,353
MN,Ramsey County,Large central metro,1065,6752
MN,Redwood County,Noncore,21,170
MN,Renville County,Noncore,35,163
MN,Rice County,Micropolitan,60,578
MN,Rock County,Noncore,10,134
MN,Roseau County,Noncore,13,153
MN,St. Louis County,Medium metro,363,3368
MN,Scott County,Large fringe metro,75,815
MN,Sherburne County,Large fringe metro,50,626
MN,Stearns County,Small metro,309,2144
MN,Steele County,Micropolitan,10,333
MN,Swift County,Noncore,15,115
MN,Todd County,Noncore,23,189
MN,Wadena County,Noncore,16,218
MN,Waseca County,Noncore,15,168
MN,Washington County,Large fringe metro,186,1859
MN,Winona County,Micropolitan,50,424
MN,Wright County,Large fringe metro,77,814
MN,Yellow Medicine County,Noncore,15,89
MO,Adair County,Micropolitan,22,252
MO,Andrew County,Small metro,10,143
MO,Audrain County,Micropolitan,28,311
MO,Barry County,Noncore,25,371
MO,Bates County,Large fringe metro,18,199
MO,Benton County,Noncore,15,278
MO,Boone County,Small metro,314,2682
MO,Buchanan County,Small metro,205,1480
MO,Butler County,Micropolitan,69,846
MO,Callaway County,Small metro,18,319
MO,Camden County,Noncore,107,751
MO,Cape Girardeau County,Small metro,227,1817
MO,Carroll County,Noncore,20,101
MO,Cass County,Large fringe metro,37,892
MO,Chariton County,Noncore,14,121
MO,Christian County,Medium metro,27,529
MO,Clark County,Micropolitan,10,53
MO,Clay County,Large fringe metro,395,2962
MO,Clinton County,Large fringe metro,62,369
MO,Cole County,Small metro,233,1212
MO,Cooper County,Noncore,12,156
MO,Crawford County,Noncore,35,343
MO,Dade County,Noncore,18,84
MO,Dallas County,Medium metro,21,209
MO,Dent County,Noncore,12,216
MO,Douglas County,Noncore,18,145
MO,Dunklin County,Micropolitan,15,319
MO,Franklin County,Large fringe metro,152,1166
MO,Gasconade County,Noncore,38,246
MO,Gentry County,Noncore,13,78
MO,Greene County,Medium metro,820,5530
MO,Grundy County,Noncore,22,129
MO,Harrison County,Noncore,10,82
MO,Henry County,Noncore,19,282
MO,Hickory County,Noncore,16,115
MO,Howell County,Micropolitan,90,734
MO,Jackson County,Large central metro,864,9634
MO,Jasper County,Small metro,86,1059
MO,Jefferson County,Large fringe metro,166,1879
MO,Johnson County,Micropolitan,52,483
MO,Laclede County,Micropolitan,44,413
MO,Lafayette County,Large fringe metro,30,334
MO,Lawrence County,Noncore,53,477
MO,Lincoln County,Large fringe metro,21,388
MO,Linn County,Noncore,13,141
MO,Livingston County,Noncore,35,189
MO,Macon County,Noncore,17,249
MO,Madison County,Noncore,14,163
MO,Marion County,Micropolitan,71,485
MO,Miller County,Noncore,16,261
MO,Monroe County,Noncore,12,88
MO,Montgomery County,Noncore,12,165
MO,Morgan County,Noncore,18,250
MO,New Madrid County,Noncore,16,215
MO,Newton County,Small metro,317,1895
MO,Nodaway County,Micropolitan,18,192
MO,Pemiscot County,Noncore,17,228
MO,Perry County,Noncore,11,199
MO,Pettis County,Micropolitan,71,582
MO,Phelps County,Micropolitan,101,704
MO,Platte County,Large fringe metro,66,773
MO,Polk County,Medium metro,66,456
MO,Pulaski County,Micropolitan,14,268
MO,Randolph County,Micropolitan,34,320
MO,St. Charles County,Large fringe metro,484,3783
MO,St. Clair County,Noncore,11,116
MO,St. Francois County,Micropolitan,67,914
MO,St. Louis County,Large fringe metro,2201,16084
MO,Saline County,Micropolitan,23,244
MO,Scotland County,Noncore,11,78
MO,Scott County,Micropolitan,80,586
MO,Stoddard County,Noncore,16,325
MO,Taney County,Micropolitan,57,706
MO,Texas County,Noncore,16,350
MO,Vernon County,Noncore,29,236
MO,Warren County,Large fringe metro,11,250
MO,Wayne County,Noncore,10,138
MO,Webster County,Medium metro,23,262
MO,Wright County,Noncore,10,142
MO,St. Louis city,Large central metro,538,5769
MS,Adams County,Micropolitan,90,501
MS,Alcorn County,Micropolitan,104,751
MS,Amite County,Micropolitan,17,139
MS,Attala County,Noncore,30,281
MS,Bolivar County,Micropolitan,56,405
MS,Calhoun County,Noncore,13,191
MS,Chickasaw County,Noncore,11,135
MS,Claiborne County,Micropolitan,11,80
MS,Clarke County,Micropolitan,25,177
MS,Clay County,Noncore,16,207
MS,Coahoma County,Micropolitan,48,339
MS,Copiah County,Medium metro,24,285
MS,Covington County,Noncore,16,197
MS,DeSoto County,Large fringe metro,359,2045
MS,Forrest County,Small metro,374,1932
MS,Franklin County,Noncore,12,96
MS,George County,Noncore,29,270
MS,Grenada County,Micropolitan,53,354
MS,Hancock County,Medium metro,21,449
MS,Harrison County,Medium metro,301,2983
MS,Hinds County,Medium metro,965,5744
MS,Holmes County,Noncore,19,173
MS,Itawamba County,Micropolitan,13,210
MS,Jackson County,Medium metro,229,1869
MS,Jones County,Micropolitan,119,884
MS,Lafayette County,Micropolitan,237,989
MS,Lamar County,Small metro,107,666
MS,Lauderdale County,Micropolitan,413,1842
MS,Lawrence County,Noncore,10,125
MS,Leake County,Noncore,31,217
MS,Lee County,Micropolitan,476,2693
MS,Leflore County,Micropolitan,129,632
MS,Lincoln County,Micropolitan,83,522
MS,Lowndes County,Micropolitan,201,1010
MS,Madison County,Medium metro,109,1198
MS,Marion County,Noncore,24,273
MS,Marshall County,Large fringe metro,36,369
MS,Monroe County,Noncore,83,476
MS,Montgomery County,Noncore,21,147
MS,Neshoba County,Noncore,53,401
MS,Oktibbeha County,Micropolitan,77,412
MS,Panola County,Noncore,41,328
MS,Pearl River County,Micropolitan,52,687
MS,Pike County,Micropolitan,95,674
MS,Pontotoc County,Micropolitan,13,265
MS,Prentiss County,Noncore,31,257
MS,Rankin County,Medium metro,136,1286
MS,Scott County,Noncore,14,260
MS,Sharkey County,Noncore,10,57
MS,Simpson County,Medium metro,62,324
MS,Sunflower County,Micropolitan,53,367
MS,Tallahatchie County,Noncore,12,129
MS,Tate County,Large fringe metro,22,230
MS,Tippah County,Noncore,31,246
MS,Tishomingo County,Noncore,34,296
MS,Union County,Noncore,60,287
MS,Warren County,Micropolitan,146,773
MS,Washington County,Micropolitan,147,885
MS,Wayne County,Noncore,31,226
MS,Webster County,Noncore,22,168
MS,Wilkinson County,Noncore,10,95
MS,Winston County,Noncore,44,248
MS,Yazoo County,Medium metro,33,270
MT,Cascade County,Small metro,206,1381
MT,Custer County,Noncore,12,131
MT,Dawson County,Noncore,24,126
MT,Deer Lodge County,Noncore,12,143
MT,Fergus County,Noncore,22,180
MT,Flathead County,Micropolitan,109,1339
MT,Gallatin County,Micropolitan,49,696
MT,Glacier County,Noncore,11,103
MT,Hill County,Noncore,42,190
MT,Lake County,Noncore,17,295
MT,Lewis and Clark County,Micropolitan,66,772
MT,Missoula County,Small metro,113,1291
MT,Phillips County,Noncore,10,44
MT,Ravalli County,Noncore,34,509
MT,Roosevelt County,Noncore,23,130
MT,Silver Bow County,Micropolitan,76,497
MT,Valley County,Noncore,11,88
MT,Yellowstone County,Small metro,429,2628
NC,Alamance County,Small metro,44,1580
NC,Beaufort County,Micropolitan,39,417
NC,Bertie County,Noncore,10,176
NC,Brunswick County,Medium metro,30,1099
NC,Buncombe County,Medium metro,185,3459
NC,Burke County,Medium metro,69,890
NC,Cabarrus County,Large fringe metro,137,1712
NC,Caldwell County,Medium metro,23,781
NC,Carteret County,Micropolitan,12,767
NC,Catawba County,Medium metro,84,1668
NC,Chatham County,Medium metro,53,728
NC,Cherokee County,Noncore,16,276
NC,Chowan County,Noncore,17,172
NC,Cleveland County,Micropolitan,100,1136
NC,Columbus County,Noncore,23,581
NC,Craven County,Small metro,86,1116
NC,Cumberland County,Medium metro,121,2490
NC,Davidson County,Medium metro,29,1277
NC,Duplin County,Noncore,29,392
NC,Durham County,Medium metro,195,3181
NC,Edgecombe County,Small metro,53,527
NC,Forsyth County,Medium metro,245,4702
NC,Franklin County,Large fringe metro,12,339
NC,Gaston County,Large fringe metro,107,2086
NC,Granville County,Micropolitan,15,411
NC,Guilford County,Medium metro,330,4997
NC,Halifax County,Micropolitan,23,498
NC,Harnett County,Micropolitan,45,792
NC,Haywood County,Medium metro,35,637
NC,Henderson County,Medium metro,86,1296
NC,Hertford County,Noncore,36,267
NC,Hoke County,Medium metro,10,236
NC,Iredell County,Large fringe metro,49,1461
NC,Johnston County,Large fringe metro,39,1218
NC,Lee County,Micropolitan,18,449
NC,Lenoir County,Micropolitan,39,547
NC,Lincoln County,Large fringe metro,28,621
NC,McDowell County,Micropolitan,17,311
NC,Mecklenburg County,Large central metro,517,7456
NC,Moore County,Micropolitan,104,1296
NC,Nash County,Small metro,86,956
NC,New Hanover County,Medium metro,95,2688
NC,Onslow County,Small metro,28,824
NC,Orange County,Medium metro,110,1264
NC,Pasquotank County,Micropolitan,36,478
NC,Pitt County,Small metro,128,2204
NC,Randolph County,Medium metro,22,981
NC,Richmond County,Micropolitan,21,419
NC,Robeson County,Micropolitan,77,1117
NC,Rockingham County,Medium metro,25,861
NC,Rowan County,Large fringe metro,113,1390
NC,Rutherford County,Micropolitan,58,733
NC,Sampson County,Noncore,11,399
NC,Scotland County,Micropolitan,28,466
NC,Stanly County,Micropolitan,26,518
NC,Surry County,Micropolitan,39,901
NC,Union County,Large fringe metro,70,1178
NC,Vance County,Micropolitan,50,445
NC,Wake County,Large central metro,376,5953
NC,Watauga County,Micropolitan,10,310
NC,Wayne County,Small metro,88,1295
NC,Wilkes County,Micropolitan,23,537
NC,Wilson County,Micropolitan,59,703
ND,Adams County,Noncore,14,63
ND,Barnes County,Noncore,25,139
ND,Bottineau County,Noncore,13,52
ND,Burleigh County,Small metro,272,1492
ND,Cass County,Small metro,485,2673
ND,Dickey County,Noncore,28,84
ND,Foster County,Noncore,18,46
ND,Grand Forks County,Small metro,121,844
ND,Grant County,Noncore,10,29
ND,LaMoure County,Noncore,13,44
ND,McHenry County,Micropolitan,16,67
ND,McLean County,Noncore,24,127
ND,Morton County,Small metro,39,299
ND,Nelson County,Noncore,13,63
ND,Pembina County,Noncore,10,63
ND,Pierce County,Noncore,23,56
ND,Ramsey County,Noncore,21,144
ND,Ransom County,Noncore,16,95
ND,Renville County,Micropolitan,10,24
ND,Stark County,Micropolitan,39,245
ND,Stutsman County,Micropolitan,64,258
ND,Traill County,Noncore,13,106
ND,Walsh County,Noncore,15,127
ND,Ward County,Micropolitan,202,935
ND,Williams County,Micropolitan,18,193
NE,Adams County,Micropolitan,65,399
NE,Buffalo County,Micropolitan,128,685
NE,Cedar County,Noncore,16,85
NE,Cheyenne County,Noncore,13,98
NE,Clay County,Noncore,10,65
NE,Cuming County,Noncore,15,111
NE,Dakota County,Small metro,21,133
NE,Dawes County,Noncore,17,102
NE,Dawson County,Micropolitan,30,238
NE,Dodge County,Micropolitan,62,506
NE,Douglas County,Medium metro,884,6731
NE,Fillmore County,Noncore,12,69
NE,Gage County,Micropolitan,20,283
NE,Hall County,Small metro,125,694
NE,Hamilton County,Small metro,21,92
NE,Howard County,Small metro,12,84
NE,Lancaster County,Medium metro,356,3485
NE,Lincoln County,Micropolitan,81,545
NE,Madison County,Micropolitan,79,508
NE,Morrill County,Noncore,11,74
NE,Nemaha County,Noncore,16,92
NE,Nuckolls County,Noncore,12,65
NE,Perkins County,Noncore,11,41
NE,Phelps County,Noncore,11,117
NE,Pierce County,Micropolitan,14,73
NE,Platte County,Micropolitan,40,296
NE,Polk County,Noncore,16,91
NE,Red Willow County,Noncore,12,137
NE,Richardson County,Noncore,12,125
NE,Sarpy County,Medium metro,59,1030
NE,Scotts Bluff County,Micropolitan,111,600
NE,Seward County,Medium metro,14,141
NE,Sheridan County,Noncore,17,92
NE,Washington County,Medium metro,10,167
NH,Belknap County,Micropolitan,90,806
NH,Cheshire County,Micropolitan,30,817
NH,Coos County,Micropolitan,32,486
NH,Grafton County,Micropolitan,26,1629
NH,Hillsborough County,Medium metro,581,4407
NH,Merrimack County,Micropolitan,109,1853
NH,Rockingham County,Large fringe metro,177,2759
NH,Strafford County,Large fringe metro,65,1395
NH,Sullivan County,Micropolitan,16,387
NJ,Atlantic County,Medium metro,439,3696
NJ,Bergen County,Large fringe metro,2694,11181
NJ,Burlington County,Large fringe metro,649,4527
NJ,Camden County,Large fringe metro,1026,7787
NJ,Cape May County,Small metro,129,1370
NJ,Cumberland County,Small metro,289,2014
NJ,Essex County,Large central metro,2569,10168
NJ,Gloucester County,Large fringe metro,451,3344
NJ,Hudson County,Large central metro,1391,5186
NJ,Hunterdon County,Large fringe metro,147,1032
NJ,Mercer County,Medium metro,713,3821
NJ,Middlesex County,Large fringe metro,2015,9366
NJ,Monmouth County,Large fringe metro,1329,8221
NJ,Morris County,Large fringe metro,1333,6552
NJ,Ocean County,Large fringe metro,1399,8735
NJ,Passaic County,Large fringe metro,1331,5298
NJ,Salem County,Large fringe metro,93,815
NJ,Somerset County,Large fringe metro,547,2937
NJ,Sussex County,Large fringe metro,202,1445
NJ,Union County,Large central metro,1319,5961
NJ,Warren County,Medium metro,173,1199
NM,Bernalillo County,Medium metro,1286,9286
NM,Chaves County,Micropolitan,121,810
NM,Cibola County,Micropolitan,47,271
NM,Colfax County,Noncore,29,166
NM,Curry County,Micropolitan,51,442
NM,Dona Ana County,Small metro,339,2412
NM,Eddy County,Micropolitan,57,545
NM,Grant County,Micropolitan,21,375
NM,Lea County,Micropolitan,67,553
NM,Lincoln County,Noncore,13,177
NM,Luna County,Micropolitan,22,273
NM,McKinley County,Micropolitan,166,717
NM,Otero County,Micropolitan,23,639
NM,Rio Arriba County,Micropolitan,30,383
NM,Roosevelt County,Micropolitan,16,134
NM,Sandoval County,Medium metro,311,1724
NM,San Juan County,Small metro,375,1515
NM,Santa Fe County,Small metro,144,1617
NM,Sierra County,Noncore,41,263
NM,Socorro County,Noncore,16,149
NM,Taos County,Micropolitan,34,334
NM,Valencia County,Medium metro,21,599
NV,Churchill County,Micropolitan,54,335
NV,Clark County,Large central metro,3606,24425
NV,Douglas County,Micropolitan,28,471
NV,Elko County,Micropolitan,25,352
NV,Lyon County,Micropolitan,11,497
NV,Nye County,Micropolitan,13,620
NV,Washoe County,Medium metro,702,6040
NV,Carson City,Small metro,157,1370
NY,Albany County,Medium metro,549,4777
NY,Allegany County,Noncore,62,493
NY,Bronx County,Large central metro,4918,18422
NY,Broome County,Small metro,371,2961
NY,Cattaraugus County,Micropolitan,63,903
NY,Cayuga County,Micropolitan,85,875
NY,Chautauqua County,Micropolitan,96,1444
NY,Chemung County,Small metro,145,1190
NY,Chenango County,Noncore,53,590
NY,Clinton County,Micropolitan,25,942
NY,Columbia County,Micropolitan,88,724
NY,Cortland County,Micropolitan,59,511
NY,Delaware County,Noncore,21,478
NY,Dutchess County,Large fringe metro,452,3431
NY,Erie County,Large central metro,1863,13319
NY,Essex County,Noncore,13,411
NY,Franklin County,Micropolitan,12,451
NY,Fulton County,Micropolitan,66,612
NY,Genesee County,Micropolitan,112,715
NY,Greene County,Noncore,11,407
NY,Herkimer County,Medium metro,48,561
NY,Jefferson County,Small metro,54,998
NY,Kings County,Large central metro,7202,25003
NY,Lewis County,Noncore,15,214
NY,Livingston County,Large fringe metro,41,445
NY,Madison County,Medium metro,82,682
NY,Monroe County,Large central metro,1283,10273
NY,Montgomery County,Micropolitan,93,764
NY,Nassau County,Large fringe metro,4055,17341
NY,New York County,Large central metro,4829,20153
NY,Niagara County,Large fringe metro,237,2677
NY,Oneida County,Medium metro,498,3507
NY,Onondaga County,Medium metro,834,6853
NY,Ontario County,Large fringe metro,120,1264
NY,Orange County,Large fringe metro,709,3813
NY,Orleans County,Large fringe metro,54,371
NY,Oswego County,Medium metro,68,912
NY,Otsego County,Micropolitan,71,974
NY,Putnam County,Large fringe metro,85,671
NY,Queens County,Large central metro,6350,21335
NY,Rensselaer County,Medium metro,117,1711
NY,Richmond County,Large central metro,1370,5448
NY,Rockland County,Large fringe metro,853,3215
NY,St. Lawrence County,Micropolitan,71,1094
NY,Saratoga County,Medium metro,103,1790
NY,Schenectady County,Medium metro,132,1923
NY,Seneca County,Micropolitan,31,256
NY,Steuben County,Micropolitan,135,1160
NY,Suffolk County,Large fringe metro,3776,17753
NY,Sullivan County,Noncore,64,742
NY,Tioga County,Small metro,47,336
NY,Tompkins County,Small metro,46,783
NY,Ulster County,Small metro,151,1662
NY,Warren County,Small metro,83,1140
NY,Washington County,Small metro,38,619
NY,Wayne County,Large fringe metro,52,743
NY,Westchester County,Large fringe metro,2498,10240
NY,Wyoming County,Noncore,30,396
NY,Yates County,Large fringe metro,21,307
OH,Adams County,Noncore,15,338
OH,Allen County,Small metro,326,1869
OH,Ashland County,Micropolitan,83,629
OH,Ashtabula County,Micropolitan,137,1203
OH,Athens County,Micropolitan,35,524
OH,Auglaize County,Micropolitan,63,522
OH,Belmont County,Small metro,57,638
OH,Brown County,Large fringe metro,18,449
OH,Butler County,Large fringe metro,441,3934
OH,Champaign County,Micropolitan,21,353
OH,Clark County,Small metro,224,2018
OH,Clermont County,Large fringe metro,107,1462
OH,Clinton County,Micropolitan,41,445
OH,Columbiana County,Micropolitan,166,1291
OH,Coshocton County,Micropolitan,26,388
OH,Crawford County,Micropolitan,73,583
